Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-24),Price Override,Watchlist,Date Added,Notes
SIRs,Pokemon,Black Bolt,N's Plan,170/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,73.52,0,FALSE,10/01/2026,
SIRs,Pokemon,Black Bolt,Serperior ex,164/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,57.31,0,FALSE,10/01/2026,
SIRs,Pokemon,Black Bolt,Zekrom ex,166/086,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,271.81,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Arven's Mabosstiff ex,235/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,32.63,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Cynthia's Garchomp ex,232/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,290.51,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Ethan's Adventure,236/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,48.9,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Ethan's Ho-oh ex,230/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,199.55,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Team Rocket's Ariana,237/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,29.26,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Team Rocket's Crobat ex,234/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,78.95,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Team Rocket's Giovanni,238/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,35.76,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Team Rocket's Mewtwo ex,231/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,558.21,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Team Rocket's Moltres ex,229/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,125.3,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Team Rocket's Nidoking ex,233/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,131.21,0,FALSE,10/01/2026,
SIRs,Pokemon,Destined Rivals,Yanmega ex,228/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,27.91,0,FALSE,10/01/2026,
SIRs,Pokemon,Journey Together,Hop's Zacian ex,186/159,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,37.68,0,FALSE,10/01/2026,
SIRs,Pokemon,Journey Together,Iono's Bellibolt ex,183/159,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,45.83,0,FALSE,10/01/2026,
SIRs,Pokemon,Journey Together,Lillie's Clefairy ex,184/159,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,127.64,0,FALSE,10/01/2026,
SIRs,Pokemon,Journey Together,N's Zoroark ex,185/159,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,53.96,0,FALSE,10/01/2026,
SIRs,Pokemon,Journey Together,Salamence ex,187/159,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,70.81,0,FALSE,10/01/2026,
SIRs,Pokemon,Journey Together,Volcanion ex,182/159,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,22.01,0,FALSE,10/01/2026,
SIRs,Pokemon,Obsidian Flames,Charizard ex,223/197,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,122.83,0,FALSE,10/01/2026,
SIRs,Pokemon,Obsidian Flames,Eiscue ex,222/197,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,9.78,0,FALSE,10/01/2026,
SIRs,Pokemon,Obsidian Flames,Geeta,226/197,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,3.38,0,FALSE,10/01/2026,
SIRs,Pokemon,Obsidian Flames,Pidgeot ex,225/197,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,24.77,0,FALSE,10/01/2026,
SIRs,Pokemon,Obsidian Flames,Poppy,227/197,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,3.71,0,FALSE,10/01/2026,
SIRs,Pokemon,Obsidian Flames,Revavroom ex,224/197,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,6.52,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Boss's Orders,265/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,20.76,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Chien-Pao ex,261/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,30.79,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Chi-Yu ex,259/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,54.78,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Dendra,266/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,11.33,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Giacomo,267/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,5.33,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Grusha,268/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,20.84,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Iono,269/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,70.36,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Meowscarada ex,256/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,36.96,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Quaquaval ex,260/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,15.25,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Saguaro,270/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,15.45,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Skeledirge ex,258/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,39.05,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Squawkabilly ex,264/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,11.94,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Ting-Lu ex,263/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,12.1,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Tinkaton ex,262/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,61.71,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldea Evolved,Wo-Chien ex,257/193,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,17.57,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldean Fates,Arven,235/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,9.96,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldean Fates,Charizard ex,234/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,336.53,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldean Fates,Clive,236/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,30.55,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldean Fates,Gardevoir ex,233/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,205.4,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldean Fates,Iono 237/091,237/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,31.76,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldean Fates,Mew ex,232/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,"1,026.76",0,FALSE,10/01/2026,
SIRs,Pokemon,Paldean Fates,Nemona,238/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,8.04,0,FALSE,10/01/2026,
SIRs,Pokemon,Paldean Fates,Penny,239/091,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,18.65,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Altaria ex,253/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,62.39,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Garchomp ex,245/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,38.59,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Gholdengo ex,252/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,39.83,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Golisopod ex,246/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,26.8,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Iron Hands ex,248/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,12.11,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Iron Valiant ex,249/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,23.63,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Mela,254/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,8.54,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Parasol Lady,255/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,17.59,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Professor Sada's Vitality,256/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,8.62,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Professor Turo's Scenario,257/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,6.08,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Rika,258/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,9.62,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Roaring Moon ex,251/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,41.2,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Sandy Shocks ex,250/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,9.55,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Tapu Koko ex,247/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,22.02,0,FALSE,10/01/2026,
SIRs,Pokemon,Paradox Rift,Tulip,259/182,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,8.6,0,FALSE,10/01/2026,
SIRs,Pokemon,Scarlet & Violet Base Set,Arven,249/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,5.74,0,FALSE,10/01/2026,
SIRs,Pokemon,Scarlet & Violet Base Set,Gardevoir ex,245/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,84.54,0,FALSE,10/01/2026,
SIRs,Pokemon,Scarlet & Violet Base Set,Great Tusk ex,246/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,13.28,0,FALSE,10/01/2026,
SIRs,Pokemon,Scarlet & Violet Base Set,Koraidon ex,247/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,23.49,0,FALSE,10/01/2026,
SIRs,Pokemon,Scarlet & Violet Base Set,Miraidon ex,244/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,28.94,0,FALSE,10/01/2026,
SIRs,Pokemon,Scarlet & Violet Base Set,Miriam,251/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,29.5,0,FALSE,10/01/2026,
SIRs,Pokemon,Scarlet & Violet Base Set,Penny,252/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,6.89,0,FALSE,10/01/2026,
SIRs,Pokemon,Scarlet & Violet Base Set,Spidops ex,243/198,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,12.11,0,FALSE,10/01/2026,
SIRs,Pokemon,Shrouded Fable,Cassiopeia,094/064,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,42.2,0,FALSE,10/01/2026,
SIRs,Pokemon,Shrouded Fable,Fezandipiti ex,092/064,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,45.12,0,FALSE,10/01/2026,
SIRs,Pokemon,Shrouded Fable,Munkidori ex,091/064,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,19.63,0,FALSE,10/01/2026,
SIRs,Pokemon,Shrouded Fable,Okidogi ex,090/064,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,21.7,0,FALSE,10/01/2026,
SIRs,Pokemon,Shrouded Fable,Pecharunt ex,093/064,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,25.25,0,FALSE,10/01/2026,
SIRs,Pokemon,Stellar Crown,Briar,171/142,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,12.94,0,FALSE,10/01/2026,
SIRs,Pokemon,Stellar Crown,Dachsbun ex,169/142,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,79.26,0,FALSE,10/01/2026,
SIRs,Pokemon,Stellar Crown,Galvantula ex,168/142,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,21.98,0,FALSE,10/01/2026,
SIRs,Pokemon,Stellar Crown,Hydrapple ex,167/142,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,39.72,0,FALSE,10/01/2026,
SIRs,Pokemon,Stellar Crown,Lacey,172/142,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,23.47,0,FALSE,10/01/2026,
SIRs,Pokemon,Stellar Crown,Terapagos ex,170/142,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,62.03,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Alolan Exeggutor ex,242/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,35.14,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Archaludon ex,241/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,13.87,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Clemont's Quick Wit,243/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,9.16,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Drayton,244/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,7.91,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Durant ex,236/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,38.14,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Hydreigon ex,240/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,43.66,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Jasmine's Gaze,245/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,24.3,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Latias ex,239/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,189.64,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Lisia's Appeal,246/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,32.68,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Milotic ex,237/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,143.17,0,FALSE,10/01/2026,
SIRs,Pokemon,Surging Sparks,Pikachu ex,238/191,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,382.99,0,FALSE,10/01/2026,
SIRs,Pokemon,SV: 151,Alakazam ex,201/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,80.81,0,FALSE,10/01/2026,
SIRs,Pokemon,SV: 151,Blastoise ex,200/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,164.49,0,FALSE,10/01/2026,
SIRs,Pokemon,SV: 151,Charizard ex,199/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,457,0,FALSE,10/01/2026,
SIRs,Pokemon,SV: 151,Erika's Invitation,203/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,21.82,0,FALSE,10/01/2026,
SIRs,Pokemon,SV: 151,Giovanni's Charisma,204/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,18.27,0,FALSE,10/01/2026,
SIRs,Pokemon,SV: 151,Venusaur ex,198/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,127.87,0,FALSE,10/01/2026,
SIRs,Pokemon,SV: 151,Zapdos ex,202/165,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,111.22,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Bianca's Devotion,209/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,29.52,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Eri,210/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,16.9,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Gouging Fire ex,204/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,60.25,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Iron Boulder ex,207/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,29.11,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Iron Crown ex,206/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,58.94,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Iron Leaves ex,203/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,42.17,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Morty's Conviction,211/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,76.79,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Raging Bolt ex,208/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,72.4,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Salvatore,212/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,20.53,0,FALSE,10/01/2026,
SIRs,Pokemon,Temporal Forces,Walking Wake ex,205/162,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,60.94,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Bloodmoon Ursaluna ex,216/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,47.86,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Carmine,217/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,72.77,0,FALSE,10/01/2026,
SIRs,Pokemon,Twilight Masquerade,Cornerstone Mask Ogerpon ex,215/167,Special Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,16.04,0,FALSE,10/01/2026,
